ANTONIO GARCIA,130815114,antgarcia,antgarcia@mail.com,3382504991,CLL 138 # 63 - 35
MANUEL RODRIGUEZ,66064120,manrodriguez,manrodriguez@mail.com,3060260964,CRA 79 # 32 - 41
JOSE GONZALEZ,207933193,josgonzalez,josgonzalez@mail.com,3461082565,CLL 65 # 65 - 44
FRANCISCO FERNANDEZ,107838272,frafernandez,frafernandez@mail.com,3059679265,CLL 17 # 27 - 53
DAVID LOPEZ,230097570,davlopez,davlopez@mail.com,3441460060,CRA 78 # 127 - 66
JUAN MARTINEZ,837638535,juamartinez,juamartinez@mail.com,3294747118,CLL 1 # 99 - 46
JAVIER SANCHEZ,542170216,javsanchez,javsanchez@mail.com,3282011192,CLL 91 # 100 - 41
DANIEL PEREZ,992474112,danperez,danperez@mail.com,3383566372,CRA 41 # 31 - 41
JOSE ANTONIO GOMEZ,161338544,josgomez,josgomez@mail.com,3395979950,CLL 122 # 35 - 72
FRANCISCO JAVIER MARTIN,814677330,framartin,framartin@mail.com,3370687563,CLL 141 # 2 - 44
JOSE LUIS JIMENEZ,448027870,josjimenez,josjimenez@mail.com,3052376346,CRA 118 # 74 - 59
CARLOS HERNANDEZ,1125125510,carhernandez,carhernandez@mail.com,3171765731,CLL 83 # 116 - 47
ALEJANDRO RUIZ,889190207,aleruiz,aleruiz@mail.com,3191126540,CLL 88 # 141 - 69
JESUS DIAZ,605714945,jesdiaz,jesdiaz@mail.com,3449482590,CRA 113 # 104 - 60
MIGUEL MORENO,229825739,migmoreno,migmoreno@mail.com,3474582697,CLL 111 # 82 - 30
JOSE MANUEL MU•OZ,511898183,josmuœoz,josmuœoz@mail.com,3268136381,CLL 102 # 113 - 56
MIGUEL ANGEL ALVAREZ,1181988459,migalvarez,migalvarez@mail.com,3363014898,CRA 63 # 125 - 28
RAFAEL ROMERO,587904895,rafromero,rafromero@mail.com,3099887585,CLL 47 # 140 - 14
PABLO GUTIERREZ,146418294,pabgutierrez,pabgutierrez@mail.com,3292378455,CLL 46 # 137 - 30
PEDRO ALONSO,402971088,pedalonso,pedalonso@mail.com,3290369018,CRA 110 # 67 - 66
ANGEL NAVARRO,131305233,angnavarro,angnavarro@mail.com,3021024595,CLL 101 # 78 - 74
SERGIO TORRES,476939682,sertorres,sertorres@mail.com,3394087040,CLL 23 # 141 - 10
FERNANDO DOMINGUEZ,780559713,ferdominguez,ferdominguez@mail.com,3043283726,CRA 69 # 5 - 47
JOSE MARIA RAMOS,863655265,josramos,josramos@mail.com,3469038933,CLL 37 # 120 - 53
JORGE VAZQUEZ,730983773,jorvazquez,jorvazquez@mail.com,3413562147,CLL 38 # 57 - 61
LUIS RAMIREZ,184351395,luiramirez,luiramirez@mail.com,3063074195,CRA 128 # 128 - 10
ALBERTO GIL,459437299,albgil,albgil@mail.com,3015778208,CLL 104 # 91 - 16
ALVARO SERRANO,693629797,alvserrano,alvserrano@mail.com,3147262108,CLL 26 # 55 - 4
JUAN CARLOS MORALES,570757656,juamorales,juamorales@mail.com,3028910426,CRA 10 # 16 - 56
ADRIAN MOLINA,1056836345,adrmolina,adrmolina@mail.com,3187313291,CLL 121 # 99 - 61
DIEGO BLANCO,1087235587,dieblanco,dieblanco@mail.com,3026519367,CLL 126 # 141 - 13
JUAN JOSE SUAREZ,305847059,juasuarez,juasuarez@mail.com,3093669812,CRA 106 # 47 - 18
RAUL CASTRO,754644943,raucastro,raucastro@mail.com,3323660253,CLL 76 # 84 - 9
IVAN ORTEGA,736097950,ivaortega,ivaortega@mail.com,3220662448,CLL 124 # 78 - 38
RUBEN DELGADO,755192765,rubdelgado,rubdelgado@mail.com,3130678554,CRA 136 # 46 - 15
JUAN ANTONIO ORTIZ,265663219,juaortiz,juaortiz@mail.com,3047530250,CLL 34 # 23 - 60
OSCAR MARIN,311900139,oscmarin,oscmarin@mail.com,3066271625,CLL 90 # 130 - 70
ENRIQUE RUBIO,1128187429,enrrubio,enrrubio@mail.com,3457673646,CRA 13 # 44 - 8
RAMON NU•EZ,192882174,ramnuœez,ramnuœez@mail.com,3046243038,CLL 98 # 42 - 63
ANDRES MEDINA,368853394,andmedina,andmedina@mail.com,3102936745,CLL 104 # 22 - 2
JUAN MANUEL SANZ,570913999,juasanz,juasanz@mail.com,3422109823,CRA 119 # 71 - 6
SANTIAGO CASTILLO,915142653,sancastillo,sancastillo@mail.com,3203261924,CLL 40 # 65 - 13
VICENTE IGLESIAS,1159514991,viciglesias,viciglesias@mail.com,3201937730,CLL 55 # 40 - 32
MARIO CORTES,923633347,marcortes,marcortes@mail.com,3289797925,CRA 61 # 105 - 33
VICTOR GARRIDO,516539654,vicgarrido,vicgarrido@mail.com,3429324193,CLL 120 # 76 - 66
JOAQUIN SANTOS,127000363,joasantos,joasantos@mail.com,3409495416,CLL 19 # 37 - 12
EDUARDO GUERRERO,43541651,eduguerrero,eduguerrero@mail.com,3382014124,CRA 140 # 47 - 46
ROBERTO LOZANO,1011369921,roblozano,roblozano@mail.com,3469601917,CLL 4 # 71 - 17
MARCOS CANO,934035977,marcano,marcano@mail.com,3091386104,CLL 37 # 125 - 31
JAIME CRUZ,309674053,jaicruz,jaicruz@mail.com,3301090887,CRA 18 # 24 - 24
FRANCISCO JOSE MENDEZ,345661160,framendez,framendez@mail.com,3222766532,CLL 33 # 130 - 4
HUGO FLORES,555651522,hugflores,hugflores@mail.com,3027448547,CLL 136 # 69 - 55
IGNACIO PRIETO,676735761,ignprieto,ignprieto@mail.com,3074393440,CRA 31 # 34 - 55
JORDI HERRERA,268677223,jorherrera,jorherrera@mail.com,3385478104,CLL 15 # 68 - 4
ALFONSO PE•A,1137526561,alfpeœa,alfpeœa@mail.com,3392461877,CLL 144 # 45 - 22
RICARDO LEON,974415378,ricleon,ricleon@mail.com,3259450532,CRA 1 # 32 - 4
